AMA Plastics,2109,"Riverside, CA"
AmbaFlex Inc.,5579,"Arlington, TX"
Amcor Flexibles,2611,"Buffalo Grove, IL"
American Calibration Inc.,527,"Crystal Lake, IL"
American Cleanstat,1254,"Irvine, CA"
American Industries Group,889,Zapopan
"American Kuhne, a Brand of Graham Engineering Corp.",1933,"York, PA"
American Mold Builders Association (AMBA),375,"Indianapolis, IN"
American National Manufacturing Inc.,2091,"Corona, CA"
American National Standards Institute (ANSI),3361,"New York, NY"
American Polyfilm Inc.,2271,"Branford, CT"
American Preclinical Services,566,"Minneapolis, MN"
American RENOLIT Corp. LA,2410,"Commerce, CA"
American Scale Company Inc.,5088,"Covina, CA"
American Ultraviolet Co.,1501,"Lebanon, IN"
American Wire EDM,2391,"Orange, CA"
Amerimation Inc.,4283,"Mundelein, IL"
AmeriVacS,5450,"San Diego, CA"
AMETEK Engineered Medical Components,1901,"Minneapolis, MN"
Ametek Test & Calibration,670,"Largo, PA"
Amparo Medical Technologies,3166,"Placentica, CA"
Amphenol Advanced Sensors,529,"St. Marys, PA"
AMS Filling Systems,5558,"Honey Brook, PA"
AMT Datasouth,5598,"Camarillo, CA"
Amtech Electrocircuits,625,"Troy, MI"
ANA Global,952,"San Diego, CA"
Anaheim Automation Inc.,4454,"Anaheim, CA"
AnC Precision Inc.,5459,"Gardnerville, NV"
Andersen Products Inc.,1855,"Haw River, NC"
Anko Products Inc.,975,"East Bradenton, FL"
Anomet Products,2385,"Shrewsbury, MA"
Anritsu Infivis Inc.,5016,"Elk Grove, IL"
ANSYS,3511,"Canonsburg, PA"
ANT Precision,4097,Ensenada
AOK Tooling Ltd.,1969,"Cheung Sha Wan, Kowloon"
APG Inc.,789,"Buford, GA"
Apollo Medical Extrusion Technologies,2213,"Sandy, UT"
Apollo Seiko Ltd. USA,382,"Bridgman, MI"
APT Medical (Access Point Technologies Inc.),1544,Tokyo
AQS Inc.,3183,"Fremont, CA"
AR RF/Microwave Instrumentation,1654,"Souderton, PA"
Arburg Inc.,3925,"Rocky Hill, CT"
ARC Group Worldwide,3251,"Longmont, CO"
Argon Medical Devices Inc.,3074,"Athens, TX"
Ariel US LLC,4191,"Las Vegas, NV"
Aristotech GmbH,252,Lueckenwalde
Arizona Instrument LLC,4035,"Chandler, AZ"
Ark-Plas Products Inc.,1347,"Flippin, AR"
ARMM Inc.,2068,"Huntington Beach, CA"
Armor USA,5289,"Hebron, KY"
Armstrong Rapid Manufacturing,3631,"East Syracuse, NY"
Arrow Casters & Wheels,859,"Murrieta, CA"
Arthur G. Russell Company Inc.,4315,"Bristol, CT"
ASACLEAN™-Sun Plastech Inc.,3831,"Parsippany, NJ"
Asahi Intecc USA Inc.,1883,"Santa Ana, CA"
Aspect Automation,4338,"Saint Paul, MN"
Aspen Systems Inc.,571,"Marlborough, MA"
Associated Packaging Inc.,5349,"Santa Fe Springs, CA"
Associated Spring,2884,"Bristol, CT"
Associated Spring Raymond,2884,"Maumee, OH"
Assun Motor Pte. Ltd.,830,Singapore
Asteelflash USA Corp.,3493,"Fremont, CA"
Astro Tool Corp.,849,"Beaverton, OR"
Astronics Test Systems,963,"Irvine, CA"
AT&S Americas LLC,526,"San Jose, CA"
ATC Automation,4011,"Cookeville, TN"
ATC Inc. (Advanced Test Concepts),2577,"Indianapolis, IN"
ATEQ Corp.,1889,"Livonia, MI"
Atex Technologies,1453,"Pinebluff, NC"
ATL Technology,2273,"Springville, UT"
Atlas Vac Machine,1862,"Cincinnati, OH"
Atryz Korea,4464,Seoul
ATS Automation,4301,"Cambridge, ON"
Attop Packaging,5173,"Richmond, BC"
Auer Precision Company Inc.,3241,"Mesa, AZ"
August Herzog Braiding Machines,1485,Oldenburg
Aurora Bearing Company,3467,"Montgomery, IL"
Autec Solutions Pte. Ltd.,432,Midview City
Automated Assembly,2594,"Lakeville, MN"
Automatic Manufacturing Enterprise Ltd.,583,"Fotan, Shatin"
Automation GT,4239,"Carlsbad, CA"
Automator America Inc.,4468,"Ashville, OH"
Automator America Inc.,4468,"Ashville, OH"
Autonics USA Inc.,4247,"Mundelein, IL"
Avalon Laboratories dba Nordson Medical,2951,"Compton, CA"
Aven Inc.,4271,"Ann Arbor, MI"
Avista Pharma Solutions Inc.,1354,"Agawam, MA"
Axcess Surgical,790,"Half Moon Bay, CA"
Axelgaard Manufacturing Company Ltd.,1991,"Fallbrook, CA"
Axetris AG,580,"Itasca, IL"
Axon,5320,"Raleigh, NC"
Aztech Converting Systems,5570,"Tempe, AZ"
Azure MicroDynamics Inc.,3184,"Lake Forest, CA"
Azzur Group,437,"Irvine, CA"
B & H Tool Company LLC,2145,"San Marcos, CA"
B&R Industrial Automation Corp.,4325,"Roswell, GA"
B. Braun OEM Div.,2401,"Bethlehem, PA"
Backer BHV AB / Div. Calesco,782,Kolbäck
Backer Marathon Inc.,3595,"Del Rio, TX"
Baja MedDevice Alliance,3097,"Tijuana, CA"
Bal Seal® Engineering Inc.,1359,"Foothill Ranch, CA"
Balboa Capital,4395,"Costa Mesa, CA"
Balda C. Brewer,2515,"Ontario, CA"
Balluff Inc.,4614,"Florence, KY"
Bangerter Microtechnik AG,3139,Aarberg
Barger,2175,"Madison, WI"
Baril Corp.,2267,"Haverhill, MA"
Barnes Engineered Components,2884,"Plymouth, MI"
Barry-Wehmiller Co.,5543,"St. Louis, MO"
Bartels Mikrotechnik GmbH,2978,Dortmund
Bashir Jamil &  Bros. Pvt. Ltd.,141,Lahore
BattleBots,255,N/A
Bavaria Medizin Technologie GmbH,1526,Wessling
Bay Associates Wire Technologies,1842,"Fremont, CA"
Bay Corp.,953,"Westlake, OH"
BDC Laboratories,1345,"Wheat Ridge, CO"
Beamer Laser,474,"Flushing, MI"
Beaumont Technologies Inc.,4055,"Erie, PA"
Becker Pumps Corp.,528,"Cuyahoga Falls, OH"
Beckhoff Automation LLC,4538,"Savage, MN"
Bedford Industries Inc.,5188,"Worthington, MN"
Belco Packaging Systems Inc.,5454,"Monrovia, CA"
Belco Packaging Systems Inc.,1938,"Monrovia, CA"
Belden,4391,"St. Louis, MO"
Belden Universal,3394,"Broadview, IL"
BELL-MARK,5301,"Pine Brook, NJ"
Belt Technologies Inc.,4180,"Agawam, MA"
Bemis Healthcare Packaging,2835,"Oshkosh, WI"
Benchmark Electronics,2568,"Rochester, MN"
Benchmark Electronics,2568,"Rochester, MN"
Bentec Medical,3224,"Woodland, CA"
Bentec Medical,3224,"Woodland, CA"
Bernd Richter GmbH,1868,"Saint Paul, MN"
Berry Plastics Corp.,619,"Franklin, MA"
Best Label Company Inc.,5268,"Cerritos, CA"
Bestronics,515,"San Jose, CA"
Beswick Engineering Co.,962,"Greenland, NH"
"Beta LaserMike, an NDC Technologies Brand",2928,"Dayton, OH"
BillerudKorsnäs,1082,"Miami, FL"
Bimba Manufacturing Co.,4564,"University Park, IL"
Bimba Manufacturing Co.,977,"University Park, IL"
Binder USA,4571,"Camarillo, CA"
Biocoat Inc.,1765,"Horsham, PA"
Biogeneral Inc.,1442,"San Diego, CA"
"Biomedical Innovations, a Nissha Co.",1892,"Sandpoint, ID"
Biomerics Advanced Catheter,3344,"Brooklyn Park, MN"
Birk Manufacturing Inc.,2862,"East Lyme, CT"
Bisco Industries Inc.,747,"Anaheim, CA"
Bishop-Wisecarver Corporation,4461,"Pittsburg, CA"
Blackstone-NEY Ultrasonics,544,"Jamestown, NY"
Blisterpak Inc.,5021,"Commerce, CA"
Blockwise Engineering,1527,"Tempe, AZ"
Blow Molded Products Inc.,4994,"Riverside, CA"
Bluestar Silicones,2209,"E. Brunswick, NJ"
Bluestar Silicones,2209,"E. Brunswick, NJ"
BMP Medical,626,"Gardner, MA"
Bob Inc.,2860,"Minneapolis, MN"
Boedeker Plastics Inc.,483,"Shiner, TX"
Boker's Inc.,3558,"Minneapolis, MN"
Bolt Products Inc.,3984,"City of Industry, CA"
Bonar Plastics,4922,"West Chicago, IL"
Borche North America,3968,"Ontario, CA"
Borealis AG,1351,Vienna
Borla Inc.,2009,"Brea, CA"
Bosch Rexroth Corp.,4201,"Charlotte, NC"
Bottlemate Inc.,5160,"Commerce, CA"
Bottles R Us / Caps R Us LLC,5167,"Kirkland, WA"
Boucherie USA Inc.,970,"Knoxville, TN"
Box on Demand,4972,"Battle Creek, MI"
Boy Machines Inc.,4047,"Exton, PA"
Branson Ultrasonics Corp.,2439,"Danbury, CT"
Braxton Manufacturing Company Inc.,3340,"Watertown, CT"
Brentwood Industries Inc.,1948,"Reading, PA"
Brentwood Industries Inc.,1948,"Reading, PA"
Bridgemed Solutions Inc.,1292,"Irvine, CA"
"Brookdale Plastics, a Div. of Placon",2175,"Madison, WI"
Brookwood Companies Inc.,648,"New York, NY"
Brueckner Group USA Inc.,4329,"Portsmouth, NH"
Bruker,1895,"Kennewick, WA"
Bruker Corp.,3199,"Santa Barbara, CA"
Brunk Industries Inc.,3171,"Lake Geneva, WI"
Bryan Jacobs Enterprises,,"Brylandia, CA"
Bryant Products Inc.,4989,"Ixonia, WI"
BryCoat Inc.,517,"Oldsmar, FL"
BTS International,5014,"Franklin Lakes, NJ"
BTS International,5014,"Franklin Lakes, NJ"
Burpee Materials Technology LLC,2270,"Eatontown, NJ"
BW-TEC AG,3135,Höri
BYTEC Medizintechnik GmbH,2871,Eschweiler
C&A Tool Engineering Inc.,3372,"Churubusco, IN"
C&W Electronics Pte. Ltd.,434,Singapore
C-Axis,1754,"Hamel, MN"
C-Tek Industrial Products Inc.,4575,"Cornelius, NC"
CACO PACIFIC,3801,"Covina, CA"
Cad Blu,3743,"New York, NY"
CAD/CAM CONSULTING SERVICES INC.,3609,"Newbury Park, CA"
Cadence Inc.,1701,"Staunton, VA"
CAID Automation,4550,"Tucson, AZ"
California Central Valley EDC,4948,"Bakersfield, CA"
California Fine Wire Co.,2890,"Grover Beach, CA"
California Life Sciences Association,147,"San Diego, CA"
California Vibratory Feeders Inc.,4445,"Anaheim, CA"
Calmont Wire and Cable Inc.,1949,"Santa Ana, CA"
Cambridge Design Partnership,1425,Cambridge
Cambridge Design Partnership,1425,"Cambridge, CA"
Cambus Medical,3213,Spiddal
Cameo Metal Products,5297,"Brooklyn, NY"
Campbell Engineering Inc.,547,"Lake Forest, CA"
Campbell Wrapper Corp.,5010,"De Pere, WI"
Canon U.S.A. Inc.,659,"San Jose, CA"
Canon Virginia Inc.,3901,"Newport News, VA"
"Canon Virginia, Inc.",3901,"Newport News, VA"
Canyon Plastics,5381,"Valencia, CA"
Capital AEC - Design Construction Clean Rooms,416,"Irvine, CA"
Capital One Spark Business Card,5582,"Richmond, VA"
Caplugs,3535,"Buffalo, NY"
Capmatic,4939,"Montreal, QC"
Caps R Us / Bottles-R-Us LLC,5167,"Los Angeles, CA"
Capture 3D Inc.,3333,"Santa Ana, CA"
Carclo Precision Tool & Die,1495,"Derry, NH"
Carclo Technical Plastics,1515,"Latrobe, PA"
Career Technologies,663,"Northridge, CA"
Carlisle Medical Technologies,1554,"Kent, WA"
Carlo Gavazzi Automation,4542,"Buffalo Grove, IL"
Carlson Company Inc.,3463,"Wichita, KS"
Caroba Plastics Inc.,814,"Englewood, CO"
Cascade Floors,4992,"Sublimity, OR"
Case Automation Corp.,5074,"Riverside, CA"
CASTEM Houston LLC,713,"Houston, TX"
Catheter and Medical Design Inc.,3298,"Roseville, MN"
CCL Healthcare,5470,"Hightstown, NJ"
CCP (Certified Comparator Products),3011,"Rochester, NY"
CDA USA,5033,"Henrico, VA"
CDI Thermoforming Puerto Rico,5529,"Humacao, PR"
Cellotape/Landmark Label,1277,"Newark, CA"
Cellotape/Landmark Label,5366,"Newark, CA"
Cenefom,828,Hsinchu Science Park
Centa Corp.,3459,"Westmont, IL"
Central Plastics & Manufacturing,4031,"Tracy, CA"
Centrix Contract Services,646,"Shelton, CT"
Ceramaret SA,1427,Bole
CeraTek,5439,"Hyannis, MA"
CFW Precision Metal Components,2890,"Grover Beach, CA"
CGP Coating Innovation North America,5051,"Ontario, CA"
CGS Publishing Technologies International LLC,5274,"Minneapolis, MN"
ChadPak Company Inc.,5021,"Van Nuys, CA"
Chandler Industries Inc.,649,"Bethel, MN"
Channel Prime Alliance,3852,"Des Moines, IA"
Channeled Resources Group,3257,"Chicago, IL"
Chem-Trend LP,3926,"Howell, MI"
Chemtronics,326,"Kennesaw, GA"
Chevron Lubricants,3966,"San Ramon, CA"
Chieftek Precision USA Company Ltd.,4444,"Chino, CA"
China Packaging,5183,"S. El Monte, CA"
Chips Global Company Ltd.,3950,Taipei
Chung Shan Machinery Works Company Ltd.,5448,Chia Yi County
Cicoil,4450,"Valencia, CA"
Cicor Group,1871,Bronschhofen
Cincinnati Test Systems Inc.,1777,"Harrison, OH"
Cincinnati Test Systems Inc.,1777,"Harrison, OH"
CipherLab USA,5580,"Plano, TX"
Circuit Check (CCI),827,"Maple Grove, MN"
Cirtec Medical,2851,"Brooklyn Park, MN"
City of Anaheim,1716,"Anaheim, CA"
Clada Medical Devices,653,"Mervue, County Galway"
Clariant Plastics & Coatings USA Inc.,2450,"Holden, MA"
Classic Coil Company Inc.,3481,"Bristol, CT"
Clean Room Devices LLC,2251,"Westminster, CO"
Clean Rooms West Inc.,2382,"Tustin, CA"
Clean Seal Inc.,3899,"South Bend, IN"
CleanCut Technologies LLC,1361,"Anaheim, CA"
"CleanCut Technologies, LLC",1361,"ANaheim, CA"
ClearBags,5355,"El Dorado Hills, CA"
Clinton Instrument Co.,2294,"Clinton, CT"
Clippard Instrument Laboratory Inc.,1566,"Cincinnati, OH"
CMI SPA,5279,28047 Oleggio (NO)
Coastal Life Technologies,2362,"San Antonio, TX"
Coastal Life Technologies,2362,"San Antonio, TX"
Coatema Coating Machinery GmbH,2881,Dortmund
Coating and Converting Technologies (CCT),628,"Philadelphia, PA"
Coating and Converting Technologies (CCT),628,"Philadelphia, PA"
Cobalt Polymers,1727,"Cloverdale, CA"
Cobetter Filtration,958,Hangzhou
Code Corp.,758,"Draper, UT"
Codixx AG,761,Barleben
Cognex Corp.,4523,"Natick, MA"
Coil Experts LLC,1483,"Roselle, IL"
Cold Jet®,4061,"Loveland, OH"
Cole-Parmer,871,"Vernon Hills, IL"
Colimatic USA Inc.,5315,"Irvine, CA"
Collin Lab & Pilot Solutions Inc.,2895,"Norcross, GA"
Color Glass Container Inc.,5279,"Irvine, CA"
Color Label Solutions Inc.,5548,"San Clemente, CA"
Colorite,2027,"Ridgefield, NJ"
Comco Inc.,3086,"Burbank, CA"
Comdec Inc.,2286,"Newburyport, MA"
Command Medical Products Inc.,3254,"Ormond Beach, FL"
Compounding Solutions LLC,2973,"Lewiston, ME"
Computer Designs Custom Thermoforming,5529,"Whitehall, PA"
Computer Designs Custom Thermoforming-West,5529,"Tucson, AZ"
Computrol Inc.,524,"Meridian, ID"
Con-Tech Plastics,3883,"Brea, CA"
Conair,3939,"Cranberry Township, PA"
Concraft Precision Industrial Company Ltd.,3844,New Taipei City
Conductive,1974,"Rancho Santa Margarita, CA"
Conductive Technologies Inc.,2176,"York, PA"
Confluent Medical Technologies,2601,"Fremont, CA"
Contac Solution AB,231,Bollebygd
Continental Industries,4095,"Anaheim, CA"
Cook Spring Company Inc.,1628,"Sarasota, FL"
Cool Clean Technologies,4547,"Eagan, MN"
Cooner Wire Co.,1558,"Chatsworth, CA"
CoorsTek Gaiser® Precision Bonding Tools,3107,"Ventura, CA"
"CoorsTek Medical Fort Worth, TX",3107,"Fort Worth, TX"
"CoorsTek Medical Golden, CO",3107,"Golden, CO"
CorTec Gmbh,2898,"Freiburg, BW"
Cosmed Group Inc.,1963,"Jamestown, RI"
Cosmos/Kabar,2707,"Farmingdale, NY"
Cosmos/Kabar,2711,"Farmingdale, NY"
Costa Rican Investment Promotion Agency (CINDE),2454,"Escazu, San Jose"
Coulson Ice Blast,4090,"Port Alberni, BC"
Covestro LLC,2021,"Pittsburgh, PA"
Cox Manufacturing Co.,3266,"San Antonio, TX"
Creaform,4394,"Levis, QC"
Creare LLC,534,"Hanover, NH"
Creation Technologies,1092,"Milpitas, CA"
Creation Technologies,1092,"Burnaby, BC"
"Creganna Medical, part of TE Connectivity",3149,"Campbell, CA"
Crescent Design Inc.,658,"San Diego, CA"
Crescent Industries Inc.,848,"New Freedom, PA"
Crest Ultrasonics Corp.,131,"Trenton, NJ"
Cretex Medical,2819,"Elk River, MN"
CRI,2195,"Indianapolis, IN"
Critical Manufacturing Inc.,1575,"Austin, TX"
Crosstex International Inc.,377,"Maumee, OH"
Crystal Mark Inc.,2482,"Glendale, CA"
CS Enterprise Company Ltd. / T & C Asia,3391,"Siheung-City, Kyunggi-Do"
CSA Group,1962,"Independence, OH"
CSI Medical,1597,"Gallatin, TN"
Cumberland,3861,"New Berlin, WI"
Curtiss-Wright Parylene,2363,"Katy, TX"
Curtiss-Wright Parylene,2363,"Katy, TX"
Custom Machine & Tool Company Inc.,4142,"Hanover, MA"
Custom Mold & Design,2870,"Forest Lake, MN"
CVC Technologies Inc.,5311,"Fontana, CA"
CVC Technologies Inc.,5311,"Fontana, CA"
Cymatix,3090,"Petaluma, CA"
D&D Retail,421,"Las Vegas, NV"
Daekhon Corp.,4565,Seoul
Dainichi Company Ltd.,2146,"Kani-City, Gifu"
Dalmec Inc.,4967,"Bloomingdale, IL"
"Damark Shrink Packaging Systems, a Div. of Plexpack",4979,"Toronto, ON"
Danco Machine Inc.,3373,"Santa Clara, CA"
DaPro Rubber Inc.,1857,"Broken Arrow, OK"
Darcoid Nor-Cal Seal,3413,"Oakland, CA"
Darnell-Rose,3364,"City of Industry, CA"
Data Modul Inc.,779,"Hauppauge, NY"
Data Scale,5493,"Fremont, CA"
Datex Instruments,1353,"BALDWIN PARK, CA"
Davis-Standard,3939,"Pawcatuck, CT"
DB Roberts Co.,3635,"Wilmington, MA"
"DCHN LLC, a Katahdin Co.",2296,"Woonsocket, RI"
DCX Medical,,"Santa Clara, CA"
DDL Inc.,2252,"Eden Prairie, MN"
Dedicated Computing LLC,1362,"Waukesha, WI"
Degania Medical,2428,"Smithfield, RI"
Deitz Company Inc.,5047,"Wall, NJ"
Deknatel® Bioabsorbables,3019,"Gurnee, IL"
"Deknatel® Sutures, Braids, and Fibers",3019,"Gurnee, IL"
Delphon,1528,"Hayward, CA"
Deltaplast Mexico,370,Torreon Coahuila
DENSO Robotics,4139,"Long Beach, CA"
Deringer-Ney Inc.,2959,"Bloomfield, CT"
DermaMed Coatings Company LLC,3260,"Tallmadge, OH"
Dermapure,5294,MD
DeRoyal,1927,"Powell, TN"
DeRoyal,1927,"Powell, TN"
Design Machine & Manufacturing,4957,"Kingsburg, CA"
Design News,x100,"Santa Monica, CA"
Design Octaves,3508,"Soquel, CA"
Design Standards Corp.,1924,"Charlestown, NH"
Desoutter Industrial Tools,3897,"Rock Hill, SC"
Device Analytics LLC,3359,"Carlsbad, CA"
DeviceLab Inc.,813,"Tustin, CA"
Diamond Technologies Inc.,874,"Maynard, MA"
Diamond Tool and Engineering,3944,"Bertha, MN"
Diba Industries Inc.,1993,"Danbury, CT"
Dicronite Southwest,3885,"Upland, CA"
Dielectrics Inc.,2326,"Chicopee, MA"
Digital Dynamics Inc. (DDI),4388,"Scotts Valley, CA"
Digital Power Corp.,381,"Fremont, CA"
Dino-Lite Scopes (BigC),644,"Torrance, CA"
Dinsmore & Associates Inc.,1569,"Irvine, CA"
DirectMed Inc.,1582,"Glen Cove, NY"
Dispensa-Matic Label Dispensers,5524,"Rocky Mount, MO"
Disposable Instrument Company Inc.,2434,"Lenexa, KS"
Distinctive Plastics Inc.,3325,"Vista, CA"
Diverse Optics Inc.,2566,"Rancho Cucamonga, CA"
DMS (Die Mold Service Co.),3921,"Fountain Valley, CA"
DNP Imagingcomm America Corp.,5197,"Mt. Pleasant, PA"
Do-It Corp.,5083,"South Haven, MI"
Doerfer Companies,4129,"Nashville, TN"
Donatelle,2065,"New Brighton, MN"
"Dongguan Finecables Co., Ltd.",350,"Dongguan City, AA"
Dongguan Finecables Company Ltd.,350,Dongguan
Donguan Qingyu Machinery Company Ltd.,3597,Dongguan
Dorner Manufacturing Corp.,5020,"Hartland, WI"
Dou Yee Technologies Pte. Ltd.,333,Singapore
Double Summit LLC,5398,"Waipahu, HI"
Douglas Corp.,3362,"Eden Prairie, MN"
Dozuki,469,"San Louis Obispo, CA"
DPSS Lasers Inc.,518,"Santa Clara, CA"
DPSS Lasers Inc.,518,"Santa Clara, CA"
Dravon Medical Inc.,2013,"Clackamas, OR"
Dri-Air Industries Inc.,3811,"East Windsor, CT"
Drug and Cosmetic Sales Corp.,5297,"Lake Worth, FL"
DSM Biomedical,2808,"Berkeley, CA"
DSM Biomedical,2808,"Exton, PA"
Dukane,2919,"St. Charles, IL"
Duke Empirical Inc.,1370,"Santa Cruz, CA"
Duke Extrusion,1370,"Santa Cruz, CA"
Dunn Industries Inc.,2968,"Manchester, NH"
DuPont Medical Packaging,2038,"Richmond, VA"
Dura-Fibre LLC,5563,"Menasha, WI"
Durable Superior Casters,3572,"Arlington, TX"
Duratherm Processing Systems Inc.,3878,"St. Charles, IL"
DWFritz Automation Inc.,4600,"Wilsonville, OR"
Dycem Corp.,577,"The Woodlands, TX"
Dyconex AG,510,Bassersdorf
Dymax Corp.,2139,"Torrington, CT"
Dymco Ltd.,4381,Yokohama
"Dyna-Purge, a Div. of Shuman Plastics",4044,"Depew, NY"
Dynacast Inc.,3409,"Charlotte, NC"
Dynacast Inc.,3409,"Charlotte, NC"
Dynamac Inc.,3457,"Addison, IL"
Dynamic Coatings,4926,"Fresno, CA"
Dynamic Group,661,"Ramsey, MN"
Dynaroll,3026,"Sylmar, CA"
Dynomotion,4449,"Calabasas, CA"
E-Pak Machinery Inc.,5058,"La Porte, IN"
E-valucon Inc.,4465,"Irvine, CA"
E.Conn Co.,2467,"Murrieta, CA"
E.R.Technical Group,4901,"La Verne, CA"
EAG Laboratories,836,"Sunnyvale, CA"
Eagle Labs,2359,"Rancho Cucamonga, CA"
"Eagle Labs, Outsource Div.",2359,"Rancho Cucamonga, CA"
Eagle Medical Inc. Packaging and Sterlization,1085,"Paso Robles, CA"
